dataset_id,artifact_file,task_type,target_column,model_type,status,error,accuracy,precision,recall,f1_score,test_samples,n_classes,is_binary,resolved_dataset_path,model_path,executed_tools,tool_flow,task,train_accuracy,test_accuracy,overfitting_gap,training_samples,features,model_saved,r2_score,mse,rmse,mae,mape,train_r2,test_r2
classification__easy__yasserh_wine-quality-dataset__WineQT,classification__easy__yasserh_wine-quality-dataset__WineQT__variant_02_of_05.json,regression,Id,linear,success,,,,,,1143.0,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/yasserh_wine-quality-dataset/WineQT.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__easy__yasserh_wine-quality-dataset__WineQT.pkl,3.0,"['1:load_csv', '2:train_regression_model', '3:evaluate_regression_model']",,,,,,,,0.2011,171847.7495,414.5452,339.8084,,,
classification__easy__yasserh_wine-quality-dataset__WineQT,classification__easy__yasserh_wine-quality-dataset__WineQT__variant_03_of_05.json,regression,Id,linear,success,,,,,,1143.0,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/yasserh_wine-quality-dataset/WineQT.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__easy__yasserh_wine-quality-dataset__WineQT.pkl,3.0,"['1:load_csv', '2:train_regression_model', '3:evaluate_regression_model']",,,,,,,,0.2011,171847.7495,414.5452,339.8084,,,
classification__easy__yasserh_wine-quality-dataset__WineQT,classification__easy__yasserh_wine-quality-dataset__WineQT__variant_04_of_05.json,classification,quality,knn,success,,0.8976,0.8983,0.8976,0.8976,1143.0,6.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/yasserh_wine-quality-dataset/WineQT.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__easy__yasserh_wine-quality-dataset__WineQT.pkl,5.0,"['2:train_classification_model', '2:train_classification_model', '2:train_classification_model', '2:train_classification_model', '4:evaluate_classification_model']",,,,,,,,,,,,,,
classification__easy__yasserh_wine-quality-dataset__WineQT,classification__easy__yasserh_wine-quality-dataset__WineQT__variant_05_of_05.json,regression,Id,linear,success,,,,,,1143.0,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/yasserh_wine-quality-dataset/WineQT.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__easy__yasserh_wine-quality-dataset__WineQT.pkl,3.0,"['1:load_csv', '2:train_regression_model', '3:evaluate_regression_model']",,,,,,,,0.2011,171847.7495,414.5452,339.8084,,,
classification__hard__abhishek14398_loan-dataset__loan,classification__hard__abhishek14398_loan-dataset__loan__variant_01_of_05.json,classification,total_il_high_credit_limit,naive_bayes,failed,Input y contains NaN.,,,,,,,,,,,,,,,,,,,,,,,,,
classification__hard__abhishek14398_loan-dataset__loan,classification__hard__abhishek14398_loan-dataset__loan__variant_02_of_05.json,classification,total_il_high_credit_limit,naive_bayes,failed,Input y contains NaN.,,,,,,,,,,,,,,,,,,,,,,,,,
classification__hard__abhishek14398_loan-dataset__loan,classification__hard__abhishek14398_loan-dataset__loan__variant_03_of_05.json,classification,total_il_high_credit_limit,naive_bayes,failed,Input y contains NaN.,,,,,,,,,,,,,,,,,,,,,,,,,
classification__hard__abhishek14398_loan-dataset__loan,classification__hard__abhishek14398_loan-dataset__loan__variant_04_of_05.json,classification,total_il_high_credit_limit,naive_bayes,failed,Input y contains NaN.,,,,,,,,,,,,,,,,,,,,,,,,,
classification__hard__abhishek14398_loan-dataset__loan,classification__hard__abhishek14398_loan-dataset__loan__variant_05_of_05.json,classification,total_il_high_credit_limit,naive_bayes,failed,Input y contains NaN.,,,,,,,,,,,,,,,,,,,,,,,,,
classification__hard__andrewmvd_cyberbullying-classification__cyberbullying_tweets,classification__hard__andrewmvd_cyberbullying-classification__cyberbullying_tweets__variant_01_of_05.json,classification,cyberbullying_type,logistic,success,,,,,,4000.0,6.0,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/hard/andrewmvd_cyberbullying-classification/cyberbullying_tweets.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__hard__andrewmvd_cyberbullying-classification__cyberbullying_tweets.pkl,2.0,"['1:load_csv', '3:train_classification_model']",classification,0.8906,0.888,0.0026,16000.0,['tweet_text'],/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__hard__andrewmvd_cyberbullying-classification__cyberbullying_tweets.pkl,,,,,,,
classification__hard__andrewmvd_cyberbullying-classification__cyberbullying_tweets,classification__hard__andrewmvd_cyberbullying-classification__cyberbullying_tweets__variant_02_of_05.json,classification,label,random_forest,failed,train_classification_model: Target column 'label' not found,,,,,,,,,,,,,,,,,,,,,,,,,
classification__hard__andrewmvd_cyberbullying-classification__cyberbullying_tweets,classification__hard__andrewmvd_cyberbullying-classification__cyberbullying_tweets__variant_03_of_05.json,classification,cyberbullying_type,logistic,success,,0.8899,0.8949,0.8899,0.8889,47692.0,6.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/hard/andrewmvd_cyberbullying-classification/cyberbullying_tweets.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__hard__andrewmvd_cyberbullying-classification__cyberbullying_tweets.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__hard__andrewmvd_cyberbullying-classification__cyberbullying_tweets,classification__hard__andrewmvd_cyberbullying-classification__cyberbullying_tweets__variant_04_of_05.json,classification,cyberbullying_type,logistic,success,,0.8899,0.8949,0.8899,0.8889,47692.0,6.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/hard/andrewmvd_cyberbullying-classification/cyberbullying_tweets.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__hard__andrewmvd_cyberbullying-classification__cyberbullying_tweets.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__hard__andrewmvd_cyberbullying-classification__cyberbullying_tweets,classification__hard__andrewmvd_cyberbullying-classification__cyberbullying_tweets__variant_05_of_05.json,classification,,,success,,,,,,,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/hard/andrewmvd_cyberbullying-classification/cyberbullying_tweets.csv,,0.0,[],,,,,,,,,,,,,,
classification__hard__balaka18_email-spam-classification-dataset-csv__emails,classification__hard__balaka18_email-spam-classification-dataset-csv__emails__variant_01_of_05.json,classification,target,svm,success,,0.987,0.9743,0.987,0.9806,5172.0,7.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/hard/balaka18_email-spam-classification-dataset-csv/emails.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__hard__balaka18_email-spam-classification-dataset-csv__emails.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__hard__balaka18_email-spam-classification-dataset-csv__emails,classification__hard__balaka18_email-spam-classification-dataset-csv__emails__variant_02_of_05.json,classification,target,svm,success,,0.987,0.9743,0.987,0.9806,5172.0,7.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/hard/balaka18_email-spam-classification-dataset-csv/emails.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__hard__balaka18_email-spam-classification-dataset-csv__emails.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__hard__balaka18_email-spam-classification-dataset-csv__emails,classification__hard__balaka18_email-spam-classification-dataset-csv__emails__variant_03_of_05.json,classification,target,svm,success,,0.987,0.9743,0.987,0.9806,5172.0,7.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/hard/balaka18_email-spam-classification-dataset-csv/emails.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__hard__balaka18_email-spam-classification-dataset-csv__emails.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__hard__balaka18_email-spam-classification-dataset-csv__emails,classification__hard__balaka18_email-spam-classification-dataset-csv__emails__variant_04_of_05.json,classification,target,svm,success,,0.987,0.9743,0.987,0.9806,5172.0,7.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/hard/balaka18_email-spam-classification-dataset-csv/emails.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__hard__balaka18_email-spam-classification-dataset-csv__emails.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__hard__balaka18_email-spam-classification-dataset-csv__emails,classification__hard__balaka18_email-spam-classification-dataset-csv__emails__variant_05_of_05.json,classification,target,svm,success,,0.987,0.9743,0.987,0.9806,5172.0,7.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/hard/balaka18_email-spam-classification-dataset-csv/emails.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__hard__balaka18_email-spam-classification-dataset-csv__emails.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__hard__ddosad_ecommerce-customer-service-satisfaction__Customer_support_data,classification__hard__ddosad_ecommerce-customer-service-satisfaction__Customer_support_data__variant_01_of_05.json,classification,CSAT Score,naive_bayes,failed,"Input X contains NaN.
GaussianNB does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",,,,,,,,,,,,,,,,,,,,,,,,,
classification__hard__ddosad_ecommerce-customer-service-satisfaction__Customer_support_data,classification__hard__ddosad_ecommerce-customer-service-satisfaction__Customer_support_data__variant_02_of_05.json,classification,CSAT Score,naive_bayes,failed,"Input X contains NaN.
GaussianNB does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",,,,,,,,,,,,,,,,,,,,,,,,,
classification__hard__ddosad_ecommerce-customer-service-satisfaction__Customer_support_data,classification__hard__ddosad_ecommerce-customer-service-satisfaction__Customer_support_data__variant_03_of_05.json,classification,CSAT Score,naive_bayes,failed,"Input X contains NaN.
GaussianNB does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",,,,,,,,,,,,,,,,,,,,,,,,,
classification__hard__ddosad_ecommerce-customer-service-satisfaction__Customer_support_data,classification__hard__ddosad_ecommerce-customer-service-satisfaction__Customer_support_data__variant_04_of_05.json,classification,CSAT Score,naive_bayes,failed,"Input X contains NaN.
GaussianNB does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",,,,,,,,,,,,,,,,,,,,,,,,,
classification__hard__ddosad_ecommerce-customer-service-satisfaction__Customer_support_data,classification__hard__ddosad_ecommerce-customer-service-satisfaction__Customer_support_data__variant_05_of_05.json,classification,CSAT Score,naive_bayes,failed,"Input X contains NaN.
GaussianNB does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",,,,,,,,,,,,,,,,,,,,,,,,,
classification__hard__hetulmehta_website-classification__website_classification,classification__hard__hetulmehta_website-classification__website_classification__variant_01_of_05.json,classification,Category,logistic,success,,0.5625,0.5527,0.5625,0.5457,1408.0,16.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/hard/hetulmehta_website-classification/website_classification.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__hard__hetulmehta_website-classification__website_classification.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__hard__hetulmehta_website-classification__website_classification,classification__hard__hetulmehta_website-classification__website_classification__variant_02_of_05.json,classification,,,success,,,,,,,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/hard/hetulmehta_website-classification/website_classification.csv,,1.0,['1:load_csv'],,,,,,,,,,,,,,
classification__hard__hetulmehta_website-classification__website_classification,classification__hard__hetulmehta_website-classification__website_classification__variant_03_of_05.json,classification,Category,logistic,success,,0.5625,0.5527,0.5625,0.5457,1408.0,16.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/hard/hetulmehta_website-classification/website_classification.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__hard__hetulmehta_website-classification__website_classification.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__hard__hetulmehta_website-classification__website_classification,classification__hard__hetulmehta_website-classification__website_classification__variant_04_of_05.json,classification,Category,logistic,success,,0.5625,0.5527,0.5625,0.5457,1408.0,16.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/hard/hetulmehta_website-classification/website_classification.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__hard__hetulmehta_website-classification__website_classification.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__hard__hetulmehta_website-classification__website_classification,classification__hard__hetulmehta_website-classification__website_classification__variant_05_of_05.json,classification,Category,logistic,success,,0.5625,0.5527,0.5625,0.5457,1408.0,16.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/hard/hetulmehta_website-classification/website_classification.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__hard__hetulmehta_website-classification__website_classification.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__hard__jocelyndumlao_consumer-review-of-clothing-product__Consumer Review of Clothing Product__data_amazon.xlsx - Sheet1,classification__hard__jocelyndumlao_consumer-review-of-clothing-product__Consumer Review of Clothing Product__data_amazon.xlsx - Sheet1__variant_01_of_05.json,classification,Durability,logistic,failed,"Input X contains NaN.
LogisticRegression does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",,,,,,,,,,,,,,,,,,,,,,,,,
classification__hard__jocelyndumlao_consumer-review-of-clothing-product__Consumer Review of Clothing Product__data_amazon.xlsx - Sheet1,classification__hard__jocelyndumlao_consumer-review-of-clothing-product__Consumer Review of Clothing Product__data_amazon.xlsx - Sheet1__variant_02_of_05.json,classification,Durability,logistic,failed,"Input X contains NaN.
LogisticRegression does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",,,,,,,,,,,,,,,,,,,,,,,,,
classification__hard__jocelyndumlao_consumer-review-of-clothing-product__Consumer Review of Clothing Product__data_amazon.xlsx - Sheet1,classification__hard__jocelyndumlao_consumer-review-of-clothing-product__Consumer Review of Clothing Product__data_amazon.xlsx - Sheet1__variant_03_of_05.json,classification,Durability,logistic,failed,"Input X contains NaN.
LogisticRegression does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",,,,,,,,,,,,,,,,,,,,,,,,,
classification__hard__jocelyndumlao_consumer-review-of-clothing-product__Consumer Review of Clothing Product__data_amazon.xlsx - Sheet1,classification__hard__jocelyndumlao_consumer-review-of-clothing-product__Consumer Review of Clothing Product__data_amazon.xlsx - Sheet1__variant_04_of_05.json,classification,Durability,logistic,failed,"Input X contains NaN.
LogisticRegression does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",,,,,,,,,,,,,,,,,,,,,,,,,
classification__hard__jocelyndumlao_consumer-review-of-clothing-product__Consumer Review of Clothing Product__data_amazon.xlsx - Sheet1,classification__hard__jocelyndumlao_consumer-review-of-clothing-product__Consumer Review of Clothing Product__data_amazon.xlsx - Sheet1__variant_05_of_05.json,classification,Durability,logistic,failed,"Input X contains NaN.
LogisticRegression does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",,,,,,,,,,,,,,,,,,,,,,,,,
classification__hard__pashupatigupta_emotion-detection-from-text__tweet_emotions,classification__hard__pashupatigupta_emotion-detection-from-text__tweet_emotions__variant_01_of_05.json,classification,content,logistic,success,,0.0003,0.0,0.0003,0.0,40000.0,39827.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/hard/pashupatigupta_emotion-detection-from-text/tweet_emotions.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__hard__pashupatigupta_emotion-detection-from-text__tweet_emotions.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__hard__pashupatigupta_emotion-detection-from-text__tweet_emotions,classification__hard__pashupatigupta_emotion-detection-from-text__tweet_emotions__variant_02_of_05.json,classification,content,logistic,success,,0.0003,0.0,0.0003,0.0,40000.0,39827.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/hard/pashupatigupta_emotion-detection-from-text/tweet_emotions.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__hard__pashupatigupta_emotion-detection-from-text__tweet_emotions.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__hard__pashupatigupta_emotion-detection-from-text__tweet_emotions,classification__hard__pashupatigupta_emotion-detection-from-text__tweet_emotions__variant_03_of_05.json,classification,,,success,,,,,,,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/hard/pashupatigupta_emotion-detection-from-text/tweet_emotions.csv,,0.0,[],,,,,,,,,,,,,,
classification__hard__pashupatigupta_emotion-detection-from-text__tweet_emotions,classification__hard__pashupatigupta_emotion-detection-from-text__tweet_emotions__variant_04_of_05.json,classification,content,logistic,success,,0.0003,0.0,0.0003,0.0,40000.0,39827.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/hard/pashupatigupta_emotion-detection-from-text/tweet_emotions.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__hard__pashupatigupta_emotion-detection-from-text__tweet_emotions.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__hard__pashupatigupta_emotion-detection-from-text__tweet_emotions,classification__hard__pashupatigupta_emotion-detection-from-text__tweet_emotions__variant_05_of_05.json,classification,content,logistic,success,,0.0003,0.0,0.0003,0.0,40000.0,39827.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/hard/pashupatigupta_emotion-detection-from-text/tweet_emotions.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__hard__pashupatigupta_emotion-detection-from-text__tweet_emotions.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__hard__prox37_twitter-multilabel-classification-dataset__mLabel_tweets,classification__hard__prox37_twitter-multilabel-classification-dataset__mLabel_tweets__variant_01_of_05.json,classification,labels,logistic,success,,0.2906,0.0844,0.2906,0.1309,9921.0,288.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/hard/prox37_twitter-multilabel-classification-dataset/mLabel_tweets.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__hard__prox37_twitter-multilabel-classification-dataset__mLabel_tweets.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__hard__prox37_twitter-multilabel-classification-dataset__mLabel_tweets,classification__hard__prox37_twitter-multilabel-classification-dataset__mLabel_tweets__variant_02_of_05.json,classification,labels,logistic,success,,0.2906,0.0844,0.2906,0.1309,9921.0,288.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/hard/prox37_twitter-multilabel-classification-dataset/mLabel_tweets.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__hard__prox37_twitter-multilabel-classification-dataset__mLabel_tweets.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__hard__prox37_twitter-multilabel-classification-dataset__mLabel_tweets,classification__hard__prox37_twitter-multilabel-classification-dataset__mLabel_tweets__variant_03_of_05.json,classification,labels,logistic,success,,0.2906,0.0844,0.2906,0.1309,9921.0,288.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/hard/prox37_twitter-multilabel-classification-dataset/mLabel_tweets.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__hard__prox37_twitter-multilabel-classification-dataset__mLabel_tweets.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__hard__prox37_twitter-multilabel-classification-dataset__mLabel_tweets,classification__hard__prox37_twitter-multilabel-classification-dataset__mLabel_tweets__variant_04_of_05.json,classification,labels,logistic,success,,0.2906,0.0844,0.2906,0.1309,9921.0,288.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/hard/prox37_twitter-multilabel-classification-dataset/mLabel_tweets.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__hard__prox37_twitter-multilabel-classification-dataset__mLabel_tweets.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__hard__prox37_twitter-multilabel-classification-dataset__mLabel_tweets,classification__hard__prox37_twitter-multilabel-classification-dataset__mLabel_tweets__variant_05_of_05.json,classification,labels,logistic,success,,0.2906,0.0844,0.2906,0.1309,9921.0,288.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/hard/prox37_twitter-multilabel-classification-dataset/mLabel_tweets.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/resilient_execution/models/classification__hard__prox37_twitter-multilabel-classification-dataset__mLabel_tweets.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__hard__saurabhshahane_ecommerce-text-classification__ecommerceDataset,classification__hard__saurabhshahane_ecommerce-text-classification__ecommerceDataset__variant_01_of_05.json,classification,"Paper Plane Design Framed Wall Hanging Motivational Office Decor Art Prints (8.7 X 8.7 inch) - Set of 4 Painting made up in synthetic frame with uv textured print which gives multi effects and attracts towards it. This is an special series of paintings which makes your wall very beautiful and gives a royal touch. This painting is ready to hang, you would be proud to possess this unique painting that is a niche apart. We use only the most modern and efficient printing technology on our prints, with only the and inks and precision epson, roland and hp printers. This innovative hd printing technique results in durable and spectacular looking prints of the highest that last a lifetime. We print solely with top-notch 100% inks, to achieve brilliant and true colours. Due to their high level of uv resistance, our prints retain their beautiful colours for many years. Add colour and style to your living space with this digitally printed painting. Some are for pleasure and some for eternal bliss.so bring home this elegant print that is lushed with rich colors that makes it nothing but sheer elegance to be to your friends and family.it would be treasured forever by whoever your lucky recipient is. Liven up your place with these intriguing paintings that are high definition hd graphic digital prints for home, office or any room.",logistic,failed,Input contains NaN,,,,,,,,,,,,,,,,,,,,,,,,,
classification__hard__saurabhshahane_ecommerce-text-classification__ecommerceDataset,classification__hard__saurabhshahane_ecommerce-text-classification__ecommerceDataset__variant_02_of_05.json,classification,"Paper Plane Design Framed Wall Hanging Motivational Office Decor Art Prints (8.7 X 8.7 inch) - Set of 4 Painting made up in synthetic frame with uv textured print which gives multi effects and attracts towards it. This is an special series of paintings which makes your wall very beautiful and gives a royal touch. This painting is ready to hang, you would be proud to possess this unique painting that is a niche apart. We use only the most modern and efficient printing technology on our prints, with only the and inks and precision epson, roland and hp printers. This innovative hd printing technique results in durable and spectacular looking prints of the highest that last a lifetime. We print solely with top-notch 100% inks, to achieve brilliant and true colours. Due to their high level of uv resistance, our prints retain their beautiful colours for many years. Add colour and style to your living space with this digitally printed painting. Some are for pleasure and some for eternal bliss.so bring home this elegant print that is lushed with rich colors that makes it nothing but sheer elegance to be to your friends and family.it would be treasured forever by whoever your lucky recipient is. Liven up your place with these intriguing paintings that are high definition hd graphic digital prints for home, office or any room.",logistic,failed,Input contains NaN,,,,,,,,,,,,,,,,,,,,,,,,,
