type,sub_type,text,listPrice,sqft,stories,beds,baths,baths_full,baths_full_calc,garage
single_family,,"Colorado horse property | 9.69 acres | 50x30 workshop with electric | 3 car drive through garage | Full unfinished basement | Mountain views | No HOA | Private well & septic | 15 min to I 76 14275 Shadow Wood Ct, Brighton CO 80603 offers 9.69 fully usable acres in Heritage Heights with open space, fenced pasture, and eastern facing mountain views. Built in 2015, this ranch style home features 1, 867 finished square feet on the main level with 3 bedrooms and 2 full bathrooms, plus a 1, 866 square foot unfinished basement for storage, gym, or future expansion, totaling 3, 733 square feet. The open floorplan connects the kitchen, dining, and living areas with abundant cabinetry, cooktop, oven, microwave, dishwasher, refrigerator, and large island workspace. Interior features include an entrance foyer, primary suite with walk in closet, dedicated laundry room with sink, ceiling fans, central air, forced air propane heat, tankless water heater, reverse osmosis water system, sump pump, and water purifier. The attached 3 car drive through garage provides flexibility for vehicles, trailers, or equipment. The 50 x 30 barn and workshop includes electrical and supports equestrian, livestock, hobby, or business use. Zoning is P U D with no HOA and no metro district. Private well and septic system in place. Outdoor features include a large covered deck, patio, and fire pit area overlooking nearly 10 acres of level ground suitable for horses, RV parking, trailers, and recreational equipment. Located approximately 10 miles to I 76, 12 miles to Downtown Brighton, 10 miles to Lochbuie, 21 miles to DIA, and about 30 miles to Denver. Near Barr Lake, South Platte River Trail, and area open space. School District 27J.",900000,3733.0,1.0,3.0,2.0,2.0,2.0,3.0
single_family,,"Set on six private acres with sweeping mountain views, this 2023 custom-built modern estate offers a rare opportunity to own contemporary acreage living with effortless access to Interstate-25 and Colorado Springs. Thoughtfully designed for today's lifestyle, this home stands apart from the larger, dated properties often found in the region. Soaring 22-foot ceilings, clean architectural lines, expansive windows, and curated high-end finishes create a striking yet livable environment filled with natural light and intentional design. With approximately 3,500 square feet, the layout delivers architectural impact without unnecessary excess. The open-concept living area anchors the home with dramatic vertical scale and seamless indoor-outdoor flow - ideal for entertaining or quiet Colorado evenings overlooking the mountains. Step outside to your private retreat: a 20x8 swim spa positioned to capture unobstructed views and complete privacy across the six-acre setting. Space, serenity, and scenery - without sacrificing convenience. Built in 2023, this residence offers modern systems, energy efficiency, and peace of mind that older luxury estates simply cannot match - eliminating the renovation costs and deferred maintenance often associated with 15-20 year old properties. This is acreage living without compromise: Privacy. Views. Architectural presence. Accessibility.",1019000,6829.0,2.0,4.0,4.0,4.0,4.0,3.0
single_family,,"The first level of this two-story home is host to the Great Room, kitchen and nook, arranged in a convenient and contemporary open floorplan, while a practical study is situated off the foyer, ideal for those who need a home office. All four bedrooms can be found on the second level.",890500,2576.0,2.0,4.0,4.0,3.0,3.0,3.0
single_family,,"This two-story townhome offers a low maintenance and modern design. The first level is dedicated to shared living with an open layout among the Great Room and kitchen with a large center island that doubles as a breakfast bar. On the second floor are two bedrooms, including the lavish owner's suite. A single-bay garage set at the rear of the home adds great curb appeal.",374900,1099.0,2.0,2.0,2.0,2.0,2.0,1.0
townhomes,townhouse,"Stylish 2-bedroom condo in the heart of Old Town North! Ideally located just blocks from the Poudre River, trails, and the new kayak park, and within walking distance to breweries, restaurants, shops, The Exchange, and Old Town Fort Collins. Enjoy being blocks to New Belgium Brewing Company with easy access to everything this vibrant neighborhood has to offer. Inside, you'll find high ceilings, large living room windows that bring in abundant natural light, and stained concrete flooring for a modern, industrial feel. The kitchen features extensive cabinetry, stainless steel appliances including a gas range, and a large center island perfect for entertaining. Both bedrooms have brand new carpet. The spacious primary suite offers great natural light, a ceiling fan, walk-in closet, and private en-suite bath. The second bedroom includes a built-in desk area and a large double closet. Additional highlights include a private patio, assigned covered parking space, storage closet, and Hunter Douglas top-down/bottom-up window coverings with blackout shade in the primary. Major updates include all new windows, new exterior envelope with brand new siding and paint, plus a recently inspected A/C system with a new evaporator coil installed in February 2026. Low-maintenance living in one of Fort Collins' most desirable locations!",465000,1061.0,1.0,2.0,2.0,1.0,2.0,1.0
single_family,,"Welcome to this South facing spacious, single-story home on a 9052 sqft corner lot near the Raindance Golf Course entrance. This home offers 3 bedrooms, including a guest room with an ensuite bath, a study, 3 full baths and a main floor game room with 2,546 square feet of thoughtfully designed living space. The kitchen is a chef's dream, featuring KitchenAid appliances including built-in double convection ovens, 36"" gas cook top, a large Quartz island, a walk-in pantry and a generous butler's pantry. There is plenty of counter space and ample storage with 42"" upper cabinets in painted Linen and island cabinets in a warm stained Latte featuring soft close doors. It opens seamlessly to a large family room with 11' ceilings and a casual dining area, perfect for everyday living and entertaining. Additionally, a formal dining room provides a more elegant space for special occasions or turn this space into an optional game room featuring large barn doors. The main bedroom offers a private retreat with a bathroom that includes separate vanities, walk-in shower, a freestanding tub and a large walk-in closet for exceptional storage. A dedicated laundry room adds convenience and the 3-car garage offers ample space for both vehicles and extra storage. The unfinished basement with 9' walls provides endless possibilities for customization. The home invites outdoor enjoyment for everyone with a covered patio. Fully constructed closets with shoe racks ensure everything is neatly orga...",925000,2546.0,1.0,3.0,3.0,3.0,3.0,3.0
townhomes,,"Start your story in the Carolina at Vernazza. Our Carolina floor plan is part of our upscale townhome series offering lock-and-leave freedom. This home features: 4 bedrooms 3.5 baths Attached 2-car garage Beautiful quartz countertops Full tile kitchen backsplash Brick living room fireplace Stainless steel gas range and sxs refrigerator A one-year new home warranty Incredible access to Highland Meadows The best of Windsor, Colorado living The open-concept main floor features a cozy living room, open kitchen and dining area, and powder bath. The upper level features a stunning primary bedroom with vaulted ceilings, two additional bedrooms, a full bath, and a convenient second-floor laundry room. The finished basement features an additional bed and bath, storage space, and a family room.",632175,2405.0,2.0,4.0,4.0,3.0,3.0,2.0
single_family,,"Premium West Side Property with Sweeping Mountain and Valley Views. Located on the desirable west side, this well-crafted home sits at the base of the Sangre de Cristo Mountains and offers panoramic 360-degree views of the valley and beyond. The setting is private, quiet, and truly impressive. Built for both comfort and performance, the home features a highly efficient Steffes heating system and a two-car tandem garage. A large composite deck and covered front porch create seamless outdoor living spaces to enjoy the stunning surroundings.Inside, the open-concept kitchen and living area is flooded with natural light from large windows that perfectly frame the views. The upper-level loft offers a flexible space for a home office or media area. A walkout basement adds additional room and functionality with two bedrooms and a bathroom. This is a rare opportunity to own a well-designed home in a prime location with unmatched views and solid, efficient construction.",750000,2800.0,2.0,3.0,3.0,2.0,2.0,1.0
single_family,,"Great opportunity to build equity with this solid brick ranch priced to sell. This home needs some work but has strong bones and tons of potential. The main level offers a comfortable layout with a living room, kitchen, two bedrooms, and a full bath. Downstairs you'll find a large family room, an additional bedroom, and a laundry/HVAC room with extra storage space. Outside features include a detached one car garage and a fenced back yard, perfect for pets or projects. With brick construction and a functional floor plan, this property is a great option for investors, flippers, or buyers looking to put in some sweat equity. Bring your vision and make it your own.",99000,1796.0,2.0,3.0,1.0,1.0,1.0,1.0
single_family,,"A Unique Eco-Efficient Retreat on 1.8 acres next to Willow Creek in Crestone. This private one-bedroom lofted home sits secluded with natural buffers, offering outstanding fire resilience and energy efficiency. Nestled into the landscape with long views and no neighboring rooftops, it opens directly to protected greenbelt. Willow Creek flows just beyond the back line through mature pion and juniper.Constructed with RASTRA insulated concrete forms, the high-mass, non-combustible walls deliver superior fire resistance, soundproofing, and thermal stability. Stucco exterior and metal roof complete the low-combustible, durable envelope. The hexagonal floor plan is bathed in natural light from three south-facing low-E windows, maximizing passive solar gain. Sunlight warms the polished concrete slab thermal mass, retaining heat into the evening. On 15 winter days, the radiant-floor boiler often stays off until late evening (sometimes 11 p.m.), thanks to excellent insulation, solar design, and mass performance.Heating comes from a high-efficiency Buderus boiler and LogaLux tank for hydronic radiant floors and domestic hot water, with a separate loft loop. A Jtul wood stove provides attractive backup heat. A massive central mast supports heavy timber vigas in a spoke-like arrangement, carrying the loft with significant overbuild. A clean, gravel-lined crawlspace allows easy access to systems.The cul-de-sac lot features no through-traffic, deep 60 yd setback, and direct greenbelt access. Enjoy stunning sunsets over the SLV to the San Juans and dramatic Sangre de Cristo peaks to the east.Extras include a TREX deck, quality storage shed, and fire mitigation by Baca FD members for a strong fire defensible space.This rare property combines fire-safe engineering, passive solar efficiency, seclusion, and serene mountain living. Fully turnkey and guest-ready, with negotiable furnishings. Ideal for immediate hosting if desired. Don't forget to check out the Matterport tour",425000,1719.0,2.0,1.0,2.0,2.0,1.0,2.0
single_family,,"Thoughtfully designed home with open-concept living, dining, and kitchen ideal for everyday living and entertaining. The kitchen features a large eat-at island, quartz countertops, soft-close drawers, pull-out lower shelving, extra-wide electric flat cooktop (convertible to gas), double ovens, large single-basin sink, dedicated desk area, and spacious walk-in pantry. Custom blinds throughout. Living room offers a gas fireplace and is pre-wired for surround sound. Upstairs includes three bedrooms and a large loft. Primary suite features an oversized walk-in shower and customized walk-in closet. Finished basement adds approx. 1, 400 square feet with a bedroom, full bath, very large entertainment room and multiple storage rooms. Two furnaces and two A/C units provide year-round comfort. This home backs to a peaceful greenbelt and has a covered porch. Gas line in backyard ready for grilling. Custom entry built-ins from the garage add both style and function. Finished garage includes epoxy flooring, painted drywall, and app-controlled garage door openers.",750000,4327.0,2.0,4.0,4.0,2.0,3.0,3.0
single_family,,"Step into this spacious single-story home offering 3 bedrooms, 2 full baths and 2,155 square feet of open-concept living space. The well-appointed kitchen features a large island, plenty of counter and cabinet space, desk area for added convenience and a generous walk-in pantry, perfect for those who love to cook and entertain. The kitchen seamlessly flows into the dining room and large family room, creating an inviting atmosphere for gatherings. The main bedroom is a true retreat with a private bath, dual sinks and two walk-in closets for ultimate storage and organization. A dedicated laundry room adds convenience, while the 3-car garage offers plenty of room for vehicles and extra storage. The unfinished basement provides potential for additional living space, tailored to your needs. Smart Home technology enhances convenience, security, comfort and peace of mind. Stay comfortable year-round with energy efficiency and with a tankless hot water heater. The home is beautifully landscaped which invites outdoor enjoyment for everyone and does not back to any neighbors. Fully constructed closets with shoe racks ensure everything is neatly organized. With its thoughtful design and modern amenities, this home is ready for you to design and make it your own.",881071,2155.0,1.0,3.0,2.0,2.0,2.0,3.0
single_family,,"Welcome to this fantastic two-story home in Pinehurst Station. This well-maintained 3-bedroom, 1.5-bath residence offers an attached two-car garage and a spacious living room with vaulted ceilings. The main level features a formal dining room, an updated kitchen with stainless steel appliances, and a versatile recreation room complete with a fireplace. Enjoy outdoor living on the fully covered back patio, perfect for summer entertaining. All three bedrooms and a full bathroom are located upstairs. Additional highlights include two-tone paint and updated bathrooms. Conveniently located near schools, shopping, major thoroughfares, and more. A must-see opportunity you won't want to miss.",315000,1465.0,2.0,3.0,2.0,2.0,2.0,2.0
single_family,,"Exceptional 6-bedroom, 4-bath home in Green Valley Ranch offering over 4, 000 finished square feet every bit of it livable. Situated on a corner lot with a 3-car garage and fully paid-off solar. Not located in a metro taxing district, which is rare for the area. Lender incentive available with a 1% credit of $6, 990. Open-concept main level filled with natural light and a true chefs kitchen featuring stainless steel appliances, a huge center island, and a large pantry. The main-floor primary suite offers dual sinks, a walk-in closet, and a spa-like shower. Two bedrooms on the main level, two upstairs, and two in the fully finished basement create a highly functional layout. The basement also includes a custom bathroom with its own oversized spa-style shower. Easy access to DIA, light rail, E-470, and Green Valley Ranch Golf Course.",699000,4067.0,2.0,6.0,4.0,4.0,4.0,3.0
single_family,,"Welcome to an extraordinary estate in prestigious Broadmoor Proper, where timeless elegance meets modern luxury. Privately gated and completely reimagined with no expense spared, this one-of-a-kind residence offers an exceptional lifestyle from the moment you arrive. A dramatic dual staircase anchors the soaring foyer, flanked by formal living and dining rooms ideal for entertaining. The gourmet kitchen features brand-new professional appliances and a statement tile ceiling, flowing seamlessly into the expansive family room with a smart fireplace and custom wet bar. A private executive office with French doors and built-ins provides a refined work-from-home space. The sun-filled atrium connects to the showstopping Grand Lounge - an entertainer's dream with a designer bar, glass-enclosed gym, Foresight Falcon golf simulator, and a hidden bath with infrared sauna and spa shower. Upstairs, the luxurious primary suite offers a fireplace, spa-inspired bath, and a spacious walk-in closet with private laundry. An additional ensuite bedroom and two bedrooms with a shared bath complete the upper level. The lower level includes a private-entry apartment with full kitchen, living area, bedroom, and bath - ideal for guests or multi-generational living - plus a theater room and another ensuite bedroom. Extensive upgrades include a new roof, boiler with zoned heating, two HVAC systems, new doors and windows, remote skylights, whole-home generator, EV charger, smart shades, new garage doors and motors, updated lighting, fully remodeled baths, new flooring and paint, and redesigned landscaping with smart irrigation and a basketball court. Powered by a Savant Smart Home system, nearly every feature can be controlled from your phone. This is refined Colorado Springs living at its finest.",4100000,9647.0,2.0,6.0,9.0,9.0,9.0,3.0
townhomes,townhouse,"Welcome to this charming and cozy 2-bedroom, 3-bathroom townhome in Auroras established Olde Towne community. Offering approximately 1, 002 finished square feet across two stories, this home features a functional layout with comfortable living spaces and thoughtful updates, including new flooring in the bathrooms. A cozy fireplace creates a warm focal point in the living area, while central A/C and forced-air heat provide year-round comfort. The home also includes a private deck and a basement-level garage for added convenience and storage. Located in a highly accessible area, this townhome is just minutes from major corridors including Alameda Ave and I-225, making commuting to the Anschutz Medical Campus, DIA, or downtown Denver simple. The surrounding neighborhood offers everyday conveniences with nearby shopping, dining, parks, and schools within the Aurora Public Schools district. With a strong walkability score and established residential setting, this is an excellent opportunity for first-time buyers, downsizers, or investors seeking low-maintenance living in a central Aurora location. Dont miss this affordable opportunity to own in a convenient location close to everything Aurora has to offer. Purchase price is being determined through the platform usahomebid.com. All bids must be placed on this platform. We will not review any offers until after the bidding ends on Sunday, March 1st at 6pm. View this listing on the bidding platform here: Starting bid $165, 000. For more information about Homebids, please contact Scott Jensen . Buyer to verify all. All information deemed reliable but not guaranteed.",165000,1470.0,3.0,2.0,3.0,2.0,2.0,1.0
single_family,,"Tucked away on nearly half an acre! In a quiet, established neighborhood near University of Colorado Colorado Springs and Palmer Park, this home offers the space, privacy, and outdoor lifestyle buyers are searching for. Such easy access to all areas of town and amazing hiking, dog walking and bike riding opportunities so close to home. Space, peace & quiet, right in the heart of town! The spacious, heavily treed backyard - with no rear neighbors - has been a favorite retreat, offering shade, privacy, and the perfect setting for morning coffee, outdoor dinners, and quiet evenings. Multiple outdoor living areas include a covered front patio with views of mature aspen and maple trees, a composite deck, a nice firepit area and a large concrete patio with louvered attached awning for gathering and relaxing. Inside, the open-concept great room with vaulted, beamed ceilings creates a warm and inviting atmosphere. The large primary bedroom adds comfort and livability. Recent updates include tiled backsplash in the kitchen, newly installed granite countertops. A completely redone Primary bath, fresh paint. Newer vinyl windows throughout, French doors in the walk-out basement, main-level flooring, and a tile surround on the fireplace. Refrigerator and range are newer, and all outlets and switches have been replaced. Stucco exterior, attached 2-car garage, and a 10x12 extra-tall Tuff Shed painted to match with great extra storage. Trail access approximately 0.5 mile away makes it easy to enjoy hikes, runs, and daily walks. Small annual HOA, to maintain parks & trails A rare in-town lot with privacy, mature trees, and welcoming neighborhood charm - a must see.",585000,2298.0,2.0,4.0,3.0,3.0,3.0,2.0
single_family,,"Experience elevated Colorado living at 1781 Chestnut Avenue in Eries coveted Westerly community. Thoughtfully designed with style and function in mind, this home offers seamless indoor-outdoor entertaining, abundant space, and refined finishes throughout.The heart of the home features an open-concept kitchen with a dedicated back kitchen/prep area, perfect for effortless hosting. A main-level bedroom and bath provide flexible living options for guests or multi-gen needs. The expansive great room opens to the outdoors through a dramatic upgraded bifold door, blending interior comfort with the beauty of Colorado evenings.Step into the backyard oasiscomplete with a built-in outdoor kitchen, gas fire pit, and lush turf lawndesigned for year-round relaxation and connection.Downstairs, the finished basement offers two additional bedrooms, a full bath, and generous living space for movie nights, a home gym, or private guest quarters.Lovable traits include, 4 car garage, hardwood throughout the main floor, stained cabinetry, JennAir appliances, upgraded carpeting, quartz countertops, luxurious tilework and stylish plumbing and lighting fixtures. With modern finishes, smart design, and access to trails, parks, and top-rated St. Vrain schools, this home is a true retreat in a vibrant, growing community. Live, entertain, and unwind1781 Chestnut Ave is where lifestyle meets livability.",1776900,4893.0,2.0,6.0,7.0,6.0,6.0,4.0
single_family,,"This stunning 2-story residence offers 3,081 sq ft of thoughtfully designed living space, ideal for today's modern lifestyle. Boasting 5 spacious bedrooms, 4.5 baths and a rare 3-car tandem garage, this home delivers both luxury and flexibility. A grand 2-story entry welcomes you in, leading past a convenient main-floor en suite. At the heart of the home, an open-concept kitchen features a generous walk-in pantry and flows effortlessly into the elegant family and dining areas-perfect for entertaining. Step outside to a covered patio and sunny backyard retreat. Upstairs, the serene main suite offers a true escape, while two additional bedrooms and a full bath provide ample space. Dual-zone HVAC ensures year-round comfort. The finished lower level impresses with tall ceilings, large windows, a 5th bedroom, full bath and a spacious rec room-plus room for storage. Nestled on a South facing corner lot, enjoy sun-filled winters and a shady porch for warm summer evenings. A home where style meets function!",823529,3081.0,2.0,5.0,5.0,4.0,4.0,3.0
townhomes,townhouse,"This thoughtfully designed three story home offers a balanced blend of comfort, functionality, and modern style. The floor plan includes three bedrooms, two and a half bathrooms, and an attached two car garage. An inviting covered porch and balcony add to the home's appeal, while the open concept layout provides a flexible space for both everyday living and entertaining. Designed with today's homeowner in mind, this home offers versatility across all three levels.",472900,1890.0,2.0,3.0,3.0,3.0,3.0,2.0
single_family,,"Nestled in serene Colorado countryside, this well-maintained rural horse property on 5.35 acres delivers generous family space and solid equestrian setup. The main residence includes 6 bedrooms and 4 bathrooms, featuring a second master suite and flexible multi-generational layout that's well-suited for extended family, guests, or additional household support - offering plenty of room and privacy in a comfortable, classic ranch design. Equestrian highlights include a 3-stall barn with tack room and attached shop for easy horse care and storage. Multiple paddocks provide for safe turnout (up to 4 horses allowed), and three good-sized pastures for grazing and rotation. Backyard is fenced separately for dogs. Riding trails wind throughout the neighborhood and a community arena provide convenient access for daily rides right from your property - making this an excellent fit for a dedicated horseman, homestead enthusiast, or anyone seeking a functional country lifestyle. The HOA adds value with access to a clubhouse and pool for enjoyable summer activities, while keeping rules light and dues reasonable. With ample space for animals and recreation, and proximity to the conveniences of the town of Elizabeth, it's a versatile opportunity ready for your personal touches.",975000,3590.0,1.0,6.0,4.0,3.0,4.0,2.0
single_family,,"Well-maintained residence tucked into a quiet cul-de-sac in Kings Mill, a convenient and desirable location. This home offers a functional layout with comfortable living spaces, abundant natural light, and thoughtful updates throughout. Three generously sized bedrooms and a downstairs entertainment room offer flexibility for families, guests, a home office, or hobby space. The kitchen provides ample cabinetry and generous workspace, flowing into the dining and upstairs living area to support both the comfort of everyday life and the excitement of hosted gatherings. Extend the living space outdoors with a recently renovated, covered, Trex deck off the kitchen that creates a comfortable setting for dining, relaxing, or entertaining in multiple seasons. Its size and layout make it highly functional for both larger gatherings and quiet evenings at home. The deck overlooks a private, fully fenced, spacious backyard. Park-like in feel, it offers room for a range of needs and hobbies; from space for your pets to happily roam, to gardening or outdoor games. The large two-car garage provides substantial room for vehicles, storage, tools, or recreational equipment, adding everyday practicality and organization. Additional storage is abundant throughout with ample closets and dedicated accessible under the stairs storage. The houses grid-connected solar system will be fully paid off at closing, allowing the new owner to enjoy reduced electricity costs without assuming a lease or loan. With close proximity to parks, schools, Standley Lake, and a range of shopping and dining options, this property presents a balanced blend of comfort, efficiency, outdoor living, and location with convenient commuter routes to both Denver and Boulder.",510000,1568.0,2.0,3.0,2.0,2.0,2.0,2.0
single_family,,"This 5BD 5BA home with charming curb appeal is located on a quiet cul-de-sac in one of Arvada's favorite neighborhoods. Be greeted in the foyer leading to a formal living room warmed by a wood burning fireplace and a formal dining room ready for gatherings. Continue forward and step into the expanded kitchen with informal dining space and adjacent great room, adding a desired modernized layout to an otherwise traditional four square floor plan. The hardwood floors throughout are beautiful and hypoallergenic. The main floor also includes the laundry room and Office/Guest Suite with adjacent 3/4 bath. You can access the main patio from the great room which has beautiful views of the back yard and open space where the Croke & Farmers High-line Canals carry water to Standley Lake. Follow a path into the back yard where an additional patio under the enormous shade trees make a perfect place for a hot tub or patio table. The back yard also boasts a newly constructed gazebo and play area with play set included. The primary bedroom includes a large walk-in closet and an attractive, recently updated, 5 piece bath. The addition that expanded the main level also added the upper level 4th bedroom including an en-suite 3/4 bath. Also included upstairs is a loft area (book nook) with built in shelving and space for comfy chairs. In the basement you'll find a rec-room with built in office/hobby space and a 3/4 bathroom making it a suite of its own if needed. The basement also includes a large unfinished storage space. There's an attached 2 car garage and adjacent gated RV/boat storage. The solidly built detached barn is roughly 33x12 and could be easily converted into a second home office, art studio or workshop. NO HOA! .45 Acres in a great city, top rated schools, an easy commute and a great home. What more can you ask for?",1200000,4298.0,2.0,5.0,5.0,2.0,5.0,2.0
single_family,,"Prime Corner-Lot Retreat: Timeless Elegance, Breathtaking Mountain Vistas & Effortless Salida Lifestyle! Welcome to 10600 Willow Avenuea beautifully crafted 2, 048 sq ft single-family gem perched on a desirable corner lot in the heart of Colorados adventure playground. Step through the front door into an inviting, open-concept main level designed for seamless living and effortless entertaining. The heart of the home shines with a gourmet kitchen featuring soft-close cabinetry, premium stainless steel appliances, abundant storage, a large pantry, and a sprawling island perfect for meal prep, casual dining, or gathering with bar stools. Flow effortlessly into the adjacent dining and family rooms, with a convenient 1/2 bath and laundry nearby for everyday easeplus direct access to the backyard oasis. Upstairs, retreat to three generously sized bedrooms. The primary suite is a true sanctuary, complete with a private en-suite bath and a private balcony showcasing breathtaking mountain vistas that will leave you speechless every morning. The two additional bedrooms share a spacious full bath with ample cabinetry and large closets for ultimate comfort. Outside, enjoy low-maintenance luxury: a professionally landscaped backyard, covered front porch for relaxing evenings, and a private balcony to soak in those epic views. A detached two-car garage provides great parking and storage. Prime location just minutes from skiing, endless mountain recreation, restaurants, and amenities. Hop on the nearby bike path for a scenic cruise straight into vibrant downtown Salidaperfect for coffee runs, galleries, or riverside adventures. Impeccably maintained and move-in readythis home is built for living your best Colorado life. Dont miss this rare opportunityschedule your showing today!",725000,2048.0,2.0,3.0,4.0,2.0,3.0,2.0
townhomes,townhouse,"The Ruby floorplan offers three levels of living space with a functional and well-organized layout. This home includes three bedrooms, two full bathrooms, two half bathrooms, and a two-car garage attached. The interior provides a comfortable flow between living spaces, while the exterior features appealing architectural details that enhance curb appeal. The layout is well suited for both everyday living and hosting guests.",489900,1890.0,2.0,3.0,4.0,4.0,4.0,2.0
single_family,,"This single-story Daniel home offers an array of attractive features. Right off the entry, a private study can be optioned as a fourth bedroom. A spacious great room boasts a corner fireplace and a gourmet kitchen showcases a center island and a generous walk-in pantry. Other highlights include a secluded primary suite with an immense walk-in closet and a deluxe bath, and two additional bedrooms with a shared bath. A serene covered patio is also included.This home is rounded out with a professional kitchen, a powder room and a tech center.",889950,3610.0,1.0,4.0,3.0,3.0,3.0,3.0
townhomes,townhouse,"This thoughtfully designed three story home offers a balanced blend of comfort, functionality, and modern style. The floor plan includes three bedrooms, two and a half bathrooms, and an attached two car garage. An inviting covered porch and balcony add to the home's appeal, while the open concept layout provides a flexible space for both everyday living and entertaining. Designed with today's homeowner in mind, this home offers versatility across all three levels.",469900,1890.0,2.0,3.0,3.0,3.0,3.0,2.0
single_family,,"FIXER-FIXER-FIXER...Possibilities are evident. Location is near schools and the area is well kept. Seller wants you to see this house for yourself and make your best, reasonable offer.",50000,1536.0,2.0,2.0,1.0,1.0,1.0,2.0
single_family,,"Welcome to a home that beautifully blends comfort, elegance, and modern living! This charming property greets you with a spacious 3-car tandem garage and undeniable curb appeal. Inside, discover an exquisite interior designed to impress. The inviting living room radiates warmth with its gorgeous wood-look floors, cozy fireplace, and seamless flow into the dining area perfect for family gatherings or weekend dinner parties. The kitchen is truly a chefs playground! Showcasing stainless steel appliances, wall ovens, quartz countertops, and a stylish tile backsplash, its as functional as it is fashionable. Crisp white cabinetry brightens the space, while the center island with a breakfast bar invites casual dining and morning coffee moments.Retreat to the primary bedroom, your personal sanctuary, complete with a luxurious private bathroom. Unwind in the standalone soaking tub, enjoy the sleek glass-enclosed shower, and appreciate the modern touches like double sinks, tile flooring, and a roomy walk-in closet. Every detail is crafted to deliver both comfort and style. Need more space? The bonus room provides endless possibilities it can serve as a guest bedroom, office, or creative nook. Downstairs, the basement offers exciting potential for a media center, game room, or home gym, whatever fits your lifestyle best. And when its time to relax, head to the deck and savor your favorite drink while soaking in the peaceful surroundings. Whether youre hosting friends, spending quiet evenings under the stars, or creating new memories with loved ones, this home provides the perfect backdrop for every occasion. From its tasteful finishes to its versatile spaces, this residence is more than just a place to live, its a place to thrive. Come and experience the blend of warmth, sophistication, and endless possibilities that make this dream home truly unforgettable!",1144897,2612.0,2.0,4.0,4.0,3.0,3.0,3.0
single_family,,"Looking for a beautiful home in Northeast Colorado Springs with access to a community pool, tennis (and pickleball) courts, & the Powers Corridor? You've found it! A bright and inviting home in the Sierra Ridge neighborhood. Built in 1996, this 4-bedroom, 4-bath home with 2 car garage offers a comfortable layout, neighborhood amenities, and a location close to everything you need. The main level feels open and welcoming, with large windows in the living room and an extra-high window above the front door filling the space with natural light. The dining room features extra windows that brighten the area and provide additional views of the outdoors. Tall ceilings throughout the main areas create a spacious, airy atmosphere. Upstairs, the sleeping quarters include the primary bedroom with an en suite five-piece bathroom and walk-in closet, two additional bedrooms, and a full bath. A small balcony overlook gives a peek down into the dining and great room below. The basement adds flexibility with a finished living area that can serve as a family room, guest space, or home office, complete with a bedroom and full bathroom. Radon mitigation is already installed & tucked away. Central air conditioning keeps the home comfortable year-round. Outside, the backyard patio provides a relaxing space for gatherings or quiet evenings. Walking paths behind the property lead directly to the private community pool and tennis and pickleball courts, making it easy to enjoy the outdoors. The front porch offers a peaceful spot for sunsets or morning coffee with mountain views. Daily errands and shopping are simple, with Target, Walmart, Walgreens, grocery stores, & the local favorite Wayfinder Coffee Shop just minutes away. The Powers Corridor also offers plenty of dining and retail options. Experience everything this home and neighborhood have to offer. Arrange a private tour today and discover why is such a special place to live!",550000,2892.0,2.0,4.0,4.0,4.0,4.0,2.0
single_family,,"Updated and move-in ready, this spacious home offers vaulted ceilings, 5 bedrooms plus a dedicated office, and 3 full bathrooms. The fully finished basement features a large family/recreation room-perfect for entertaining, movie nights, or a play space.Situated on a corner lot in a quiet cul-de-sac, the property boasts a huge wraparound yard ready for your personal touch. Inside, you'll find new paint and flooring throughout, along with NEW windows, toilets, sinks, and faucets. The home also features a brand-new AC and furnace, plus a whole-house fan for added efficiency and comfort.The exterior was freshly painted in 2024 and includes a new composite front porch, updated exterior lighting, and a new storm door. With plenty of parking for vehicles, RVs, or toys-and no HOA-this property offers flexibility and freedom.Enjoy the convenience of walking to 4th Street's restaurants, breweries, theater, and local festivals.Listing broker is a licensed real estate broker in the State of Colorado and is the owner of this property. Hot tub on property is older but works, seller will pay to have removed if buyers prefer. Seller will offer concessions to buy down rate at closing.",665000,2739.0,1.0,5.0,3.0,1.0,3.0,2.0
single_family,,"Explore this inspired Clover home. Structural features include a charming covered entry, an elegant kitchen with a large island, an open dining area, a comfortable living room, two secondary bedrooms, a shared full bath, a central laundry, and a generous primary suite boasting a private bath with double sinks and an immense walk-in closet. This could be your dream home!",409950,1540.0,2.0,3.0,2.0,2.0,2.0,2.0
single_family,,"Discover this distinctive Daley home! Included features: a covered front porch; a spacious study off the two-story entry; a gourmet kitchen boasting a sizable island, a walk-in pantry, and an open dining area; an impressive great room with a cozy fireplace; a powder room; a main-floor bedroom with an attached bath; an airy loft; a luxurious primary suite offering an immense walk-in closet and a deluxe bath with dual vanities, a shower, and a soaking tub; three secondary bedrooms with two shared bathrooms; an upstairs laundry; a finished basement showcasing a bedroom, a full bath, and a large rec room with a wet bar; and an inviting covered patio. This could be your dream home!",989950,4800.0,2.0,6.0,6.0,5.0,5.0,3.0
