dataset_id,artifact_file,task_type,target_column,model_type,status,error,accuracy,precision,recall,f1_score,test_samples,n_classes,is_binary,resolved_dataset_path,model_path,executed_tools,tool_flow,r2_score,mse,rmse,mae,mape
regression__mid__CooperUnion_cardataset__data,regression__mid__CooperUnion_cardataset__data.json,regression,MSRP,random_forest,success,,,,,,11199.0,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/data_scaled_train.csv,/home/joshua/Code/ai_projects/amalia/backend/data/models/msrp_random_forest.pkl,11.0,"['1:read_file_head', '2:remove_duplicates', '2:encode_categorical', '2:scale_features', '2:split_dataset', '3:train_regression_model', '3:compare_models', '3:get_feature_importance', '4:evaluate_regression_model', '4:calculate_residuals', '4:save_evaluation_results']",0.9738,99377855.0054,9968.8442,2195.6782,5.4669
regression__mid__alamshihab075_health-and-lifestyle-data-for-diabetes-prediction__Diabetes_and_LifeStyle_Dataset ,regression__mid__alamshihab075_health-and-lifestyle-data-for-diabetes-prediction__Diabetes_and_LifeStyle_Dataset .json,classification,diagnosed_diabetes,decision_tree,success,,0.9996,0.9999,0.9994,0.9997,97297.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/regression/mid/alamshihab075_health-and-lifestyle-data-for-diabetes-prediction/Diabetes_and_LifeStyle_Dataset .csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260421194752_4aa8f940deepseek_final/models/regression__mid__alamshihab075_health-and-lifestyle-data-for-diabetes-prediction__Diabetes_and_LifeStyle_Dataset .pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,
regression__mid__camnugent_california-housing-prices__housing,regression__mid__camnugent_california-housing-prices__housing.json,regression,median_house_value,random_forest,success,,,,,,4128.0,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/housing_scaled_train.csv,/home/joshua/Code/ai_projects/amalia/backend/data/models/housing_random_forest.pkl,10.0,"['1:read_file_head', '1:get_basic_stats', '2:encode_categorical', '2:scale_features', '2:split_dataset', '3:train_regression_model', '3:get_feature_importance', '4:evaluate_regression_model', '4:calculate_residuals', '4:save_evaluation_results']",0.9202,1073718466.0115,32767.6436,18705.3256,10.1507
regression__mid__harlfoxem_housesalesprediction__kc_house_data,regression__mid__harlfoxem_housesalesprediction__kc_house_data.json,regression,sqft_lot15,random_forest,success,,,,,,21613.0,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/kc_house_data_scaled_train.csv,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/regression/mid/harlfoxem_housesalesprediction/random_forest_model.pkl,12.0,"['1:load_csv', '1:get_basic_stats', '2:handle_missing_values', '2:remove_duplicates', '2:encode_categorical', '2:scale_features', '2:split_dataset', '3:train_regression_model', '3:get_feature_importance', '4:evaluate_regression_model', '4:calculate_residuals', '4:save_evaluation_results']",0.8961,77437156.2334,8799.8384,1858.9767,11.0799
regression__mid__hrokrin_the-largest-diamond-dataset-currely-on-kaggle__diamonds,regression__mid__hrokrin_the-largest-diamond-dataset-currely-on-kaggle__diamonds.json,regression,total_sales_price,gradient_boosting,success,,,,,,219703.0,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/diamonds_scaled_train.csv,/home/joshua/Code/ai_projects/amalia/backend/data/models/diamonds_gradient_boosting.pkl,9.0,"['1:load_csv', '1:get_basic_stats', '2:encode_categorical', '2:scale_features', '2:split_dataset', '3:train_regression_model', '4:evaluate_regression_model', '4:calculate_residuals', '4:save_evaluation_results']",0.9938,4206706.7,2051.0258,181.7182,2.8556
regression__mid__lorenzozoppelletto_financial-risk-for-loan-approval__Loan,regression__mid__lorenzozoppelletto_financial-risk-for-loan-approval__Loan.json,regression,RiskScore,random_forest,success,,,,,,4000.0,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/Loan_scaled_train.csv,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/models/risk_score_random_forest.pkl,10.0,"['1:load_csv', '1:get_basic_stats', '2:encode_categorical', '2:scale_features', '2:split_dataset', '3:train_regression_model', '3:get_feature_importance', '4:evaluate_regression_model', '4:calculate_residuals', '4:save_evaluation_results']",0.9972,0.1663,0.4078,0.2599,0.5211
regression__mid__mirichoi0218_insurance__insurance,regression__mid__mirichoi0218_insurance__insurance.json,regression,charges,random_forest,success,,,,,,268.0,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/insurance_scaled_train.csv,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/models/insurance_rf_model.pkl,11.0,"['1:read_file_head', '1:get_basic_stats', '1:infer_data_types', '2:encode_categorical', '2:scale_features', '2:split_dataset', '3:train_regression_model', '3:compare_models', '4:evaluate_regression_model', '4:calculate_residuals', '4:save_evaluation_results']",0.9748,3930549.0667,1982.5612,1120.2695,13.3666
regression__mid__ranitsarkar01_porter-delivery-time-estimation__dataset,regression__mid__ranitsarkar01_porter-delivery-time-estimation__dataset.json,regression,total_outstanding_orders,random_forest,failed,Input y contains NaN.,,,,,,,,,,,,,,,,
regression__mid__rupals_gpu-runtime__sgemm_product,regression__mid__rupals_gpu-runtime__sgemm_product.json,regression,Run4 (ms),random_forest,success,,,,,,241600.0,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/sgemm_product_train.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260421194752_4aa8f940deepseek_final/models/regression__mid__rupals_gpu-runtime__sgemm_product.pkl,6.0,"['1:load_csv', '2:analyze_csv', '3:split_dataset', '4:train_regression_model', '5:evaluate_regression_model', '5:calculate_residuals']",1.0,5.7869,2.4056,0.7039,0.6116
regression__mid__yasserh_uber-fares-dataset__uber,regression__mid__yasserh_uber-fares-dataset__uber.json,regression,passenger_count,random_forest,success,,,,,,40000.0,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/uber_scaled_train.csv,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/models/uber_passenger_model.pkl,12.0,"['1:read_file_head', '1:infer_data_types', '1:get_basic_stats', '2:rename_columns', '2:encode_categorical', '2:scale_features', '2:split_dataset', '3:train_regression_model', '3:get_feature_importance', '4:evaluate_regression_model', '4:calculate_residuals', '4:save_evaluation_results']",-0.0691,1.8195,1.3489,1.0212,
