dataset_id,artifact_file,task_type,target_column,model_type,status,error,dataset_rows,usable_rows,feature_count,model_path,resolved_dataset_path,dropped_hyperparameters,train_accuracy,test_accuracy,precision,recall,f1_score,test_samples,n_classes,filepath_resolution_note,train_r2,test_r2,mse,rmse,mae
regression__hard__bobnau_daily-website-visitors__daily-website-visitors,regression__hard__bobnau_daily-website-visitors__daily-website-visitors.json,regression,,,failed,"could not convert string to float: '1,036'",,,,,,,,,,,,,,,,,,,
regression__hard__deepcontractor_car-price-prediction-challenge__car_price_prediction,regression__hard__deepcontractor_car-price-prediction-challenge__car_price_prediction.json,regression,Price,gradient_boosting,success,,19237.0,19237.0,17.0,/app/data/batch_results/batch_20260421194752_4aa8f940deepseek/models/regression__hard__deepcontractor_car-price-prediction-challenge__car_price_prediction.pkl,/app/data/uploads/datasets/regression/hard/deepcontractor_car-price-prediction-challenge/car_price_prediction.csv,1.0,,,,,,3848.0,,Recovered source dataset path from transformed filename: /app/data/uploads/datasets/regression/hard/deepcontractor_car-price-prediction-challenge/car_price_prediction_scaled.csv,0.9956,-11.2698,3823225328.2558,61832.2353,8402.5821
regression__hard__kanchana1990_colorado-real-estate-market-2026__colorado_real_estate_2026,regression__hard__kanchana1990_colorado-real-estate-market-2026__colorado_real_estate_2026.json,regression,garage,random_forest,success,,8362.0,4543.0,10.0,/app/data/batch_results/batch_20260421194752_4aa8f940deepseek/models/regression__hard__kanchana1990_colorado-real-estate-market-2026__colorado_real_estate_2026.pkl,/app/data/uploads/datasets/regression/hard/kanchana1990_colorado-real-estate-market-2026/colorado_real_estate_2026.csv,1.0,,,,,,909.0,,Used fallback candidate filepath: /app/data/uploads/datasets/regression/hard/kanchana1990_colorado-real-estate-market-2026/colorado_real_estate_2026.csv,0.8508,-2.6111,4.8842,2.21,0.6823
regression__hard__milanvaddoriya_old-car-price-prediction__car_price,regression__hard__milanvaddoriya_old-car-price-prediction__car_price.json,regression,price,random_forest,failed,Invalid target_column 'price',,,,,,,,,,,,,,,,,,,
regression__hard__spittman1248_cdc-data-nutrition-physical-activity-obesity__Nutrition__Physical_Activity__and_Obesity_-_Behavioral_Risk_Factor_Surveillance_System,regression__hard__spittman1248_cdc-data-nutrition-physical-activity-obesity__Nutrition__Physical_Activity__and_Obesity_-_Behavioral_Risk_Factor_Surveillance_System.json,regression,,,failed,Unsupported model_type='naive_bayes' for task='regression',,,,,,,,,,,,,,,,,,,
regression__hard__taweilo_mba-admission-dataset__MBA,regression__hard__taweilo_mba-admission-dataset__MBA.json,regression,,,failed,could not convert string to float: 'Admit',,,,,,,,,,,,,,,,,,,
regression__hard__valakhorasani_tehran-house-prices-dataset__TehranHouse,regression__hard__valakhorasani_tehran-house-prices-dataset__TehranHouse.json,regression,Price(USD),random_forest,success,,3479.0,3479.0,7.0,/app/data/batch_results/batch_20260421194752_4aa8f940deepseek/models/regression__hard__valakhorasani_tehran-house-prices-dataset__TehranHouse.pkl,/app/data/uploads/datasets/regression/hard/valakhorasani_tehran-house-prices-dataset/TehranHouse.csv,1.0,,,,,,696.0,,Recovered source dataset path from transformed filename: /app/data/uploads/datasets/regression/hard/valakhorasani_tehran-house-prices-dataset/TehranHouse_scaled.csv,0.9999,0.9988,63467418.622,7966.6441,695.8779
regression__mid__CooperUnion_cardataset__data,regression__mid__CooperUnion_cardataset__data.json,regression,MSRP,random_forest,success,,11914.0,11914.0,15.0,/app/data/batch_results/batch_20260421194752_4aa8f940deepseek/models/regression__mid__CooperUnion_cardataset__data.pkl,/app/data/uploads/datasets/regression/mid/CooperUnion_cardataset/data.csv,1.0,,,,,,2383.0,,Recovered source dataset path from transformed filename: /app/data/uploads/datasets/regression/mid/CooperUnion_cardataset/data_scaled.csv,0.987,0.9827,41294245.5537,6426.0599,2959.8577
regression__mid__alamshihab075_health-and-lifestyle-data-for-diabetes-prediction__Diabetes_and_LifeStyle_Dataset ,regression__mid__alamshihab075_health-and-lifestyle-data-for-diabetes-prediction__Diabetes_and_LifeStyle_Dataset .json,regression,diagnosed_diabetes,decision_tree,success,,97297.0,97297.0,30.0,/app/data/batch_results/batch_20260421194752_4aa8f940deepseek/models/regression__mid__alamshihab075_health-and-lifestyle-data-for-diabetes-prediction__Diabetes_and_LifeStyle_Dataset .pkl,/app/data/uploads/datasets/regression/mid/alamshihab075_health-and-lifestyle-data-for-diabetes-prediction/Diabetes_and_LifeStyle_Dataset .csv,,,,,,,19460.0,,,1.0,0.9974,0.0006,0.0248,0.0006
regression__mid__camnugent_california-housing-prices__housing,regression__mid__camnugent_california-housing-prices__housing.json,regression,median_house_value,random_forest,success,,20640.0,20640.0,9.0,/app/data/batch_results/batch_20260421194752_4aa8f940deepseek/models/regression__mid__camnugent_california-housing-prices__housing.pkl,/app/data/uploads/datasets/regression/mid/camnugent_california-housing-prices/housing.csv,1.0,,,,,,4128.0,,Recovered source dataset path from transformed filename: /app/data/uploads/datasets/regression/mid/camnugent_california-housing-prices/housing_scaled.csv,0.9744,0.8051,2554364716.6732,50540.7233,32376.7246
regression__mid__harlfoxem_housesalesprediction__kc_house_data,regression__mid__harlfoxem_housesalesprediction__kc_house_data.json,regression,sqft_lot15,random_forest,success,,21613.0,21613.0,20.0,/app/data/batch_results/batch_20260421194752_4aa8f940deepseek/models/regression__mid__harlfoxem_housesalesprediction__kc_house_data.pkl,/app/data/uploads/datasets/regression/mid/harlfoxem_housesalesprediction/kc_house_data.csv,1.0,,,,,,4323.0,,Recovered source dataset path from transformed filename: /app/data/uploads/datasets/regression/mid/harlfoxem_housesalesprediction/kc_house_data_scaled.csv,0.9545,0.5515,312610846.8888,17680.8045,3967.8193
regression__mid__hrokrin_the-largest-diamond-dataset-currely-on-kaggle__diamonds,regression__mid__hrokrin_the-largest-diamond-dataset-currely-on-kaggle__diamonds.json,regression,total_sales_price,gradient_boosting,success,,219703.0,219703.0,25.0,/app/data/batch_results/batch_20260421194752_4aa8f940deepseek/models/regression__mid__hrokrin_the-largest-diamond-dataset-currely-on-kaggle__diamonds.pkl,/app/data/uploads/datasets/regression/mid/hrokrin_the-largest-diamond-dataset-currely-on-kaggle/diamonds.csv,1.0,,,,,,43941.0,,Recovered source dataset path from transformed filename: /app/data/uploads/datasets/regression/mid/hrokrin_the-largest-diamond-dataset-currely-on-kaggle/diamonds_scaled.csv,0.9998,0.9989,831352.4769,911.7853,159.1955
regression__mid__lorenzozoppelletto_financial-risk-for-loan-approval__Loan,regression__mid__lorenzozoppelletto_financial-risk-for-loan-approval__Loan.json,regression,RiskScore,random_forest,success,,20000.0,20000.0,35.0,/app/data/batch_results/batch_20260421194752_4aa8f940deepseek/models/regression__mid__lorenzozoppelletto_financial-risk-for-loan-approval__Loan.pkl,/app/data/uploads/datasets/regression/mid/lorenzozoppelletto_financial-risk-for-loan-approval/Loan.csv,1.0,,,,,,4000.0,,Recovered source dataset path from transformed filename: /app/data/uploads/datasets/regression/mid/lorenzozoppelletto_financial-risk-for-loan-approval/Loan_scaled.csv,0.9979,0.9857,0.8864,0.9415,0.5911
regression__mid__mirichoi0218_insurance__insurance,regression__mid__mirichoi0218_insurance__insurance.json,regression,charges,random_forest,success,,1338.0,1338.0,6.0,/app/data/batch_results/batch_20260421194752_4aa8f940deepseek/models/regression__mid__mirichoi0218_insurance__insurance.pkl,/app/data/uploads/datasets/regression/mid/mirichoi0218_insurance/insurance.csv,1.0,,,,,,268.0,,Recovered source dataset path from transformed filename: /app/data/uploads/datasets/regression/mid/mirichoi0218_insurance/insurance_scaled.csv,0.9745,0.8628,21303761.8747,4615.5998,2546.3336
regression__mid__ranitsarkar01_porter-delivery-time-estimation__dataset,regression__mid__ranitsarkar01_porter-delivery-time-estimation__dataset.json,regression,total_outstanding_orders,random_forest,success,,197428.0,181166.0,13.0,/app/data/batch_results/batch_20260421194752_4aa8f940deepseek/models/regression__mid__ranitsarkar01_porter-delivery-time-estimation__dataset.pkl,/app/data/uploads/datasets/regression/mid/ranitsarkar01_porter-delivery-time-estimation/dataset.csv,1.0,,,,,,36234.0,,Recovered source dataset path from transformed filename: /app/data/uploads/datasets/regression/mid/ranitsarkar01_porter-delivery-time-estimation/dataset_scaled.csv,0.9939,0.9565,119.5194,10.9325,7.0244
regression__mid__rupals_gpu-runtime__sgemm_product,regression__mid__rupals_gpu-runtime__sgemm_product.json,regression,Run4 (ms),random_forest,success,,241600.0,241600.0,17.0,/app/data/batch_results/batch_20260421194752_4aa8f940deepseek/models/regression__mid__rupals_gpu-runtime__sgemm_product.pkl,/app/data/uploads/datasets/regression/mid/rupals_gpu-runtime/sgemm_product.csv,1.0,,,,,,48320.0,,,1.0,1.0,3.2636,1.8065,0.6061
regression__mid__yasserh_uber-fares-dataset__uber,regression__mid__yasserh_uber-fares-dataset__uber.json,regression,passenger_count,random_forest,success,,200000.0,200000.0,8.0,/app/data/batch_results/batch_20260421194752_4aa8f940deepseek/models/regression__mid__yasserh_uber-fares-dataset__uber.pkl,/app/data/uploads/datasets/regression/mid/yasserh_uber-fares-dataset/uber.csv,1.0,,,,,,40000.0,,Recovered source dataset path from transformed filename: /app/data/uploads/datasets/regression/mid/yasserh_uber-fares-dataset/uber_scaled.csv,0.8513,-0.0573,1.7986,1.3411,0.9978
